Date_Ref;Exutoire;Client;Activité;Num Ticket;Num Bon;Chauffeur;Immatriculation;EXT_Matiere;Matiere_T;Verif_Tonnes;Verif_Matiere;Verif_Exutoire;Poids_Terrain;Poids_Facture;Ecart
;PICHETA;;DECHETTERIE;CODE ADRESSE: CTC POISSY;;;;;;OK;Pb.Mat;Pb.Ext;0.0;0.0;0.0
;PICHETA;;DECHETTERIE;CODE ADRESSE: DECHETTERIE ACHERES;;;;;;OK;Pb.Mat;Pb.Ext;0.0;0.0;0.0
;PICHETA;;DECHETTERIE;CODE ADRESSE: DECHETTERIE AUBERGENVILLE;;;;;;OK;Pb.Mat;Pb.Ext;0.0;0.0;0.0
;PICHETA;;DECHETTERIE;CODE ADRESSE: DECHETTERIE CONFLANS;;;;;;OK;Pb.Mat;Pb.Ext;0.0;0.0;0.0
;PICHETA;;DECHETTERIE;CODE ADRESSE: DECHETTERIE EPONE;;;;;;OK;Pb.Mat;Pb.Ext;0.0;0.0;0.0
;PICHETA;;DECHETTERIE;CODE ADRESSE: DECHETTERIE GARGENVILLE;;;;;;OK;Pb.Mat;Pb.Ext;0.0;0.0;0.0
;PICHETA;;DECHETTERIE;CODE ADRESSE: DECHETTERIE LES CLOSEAUX;;;;;;OK;Pb.Mat;Pb.Ext;0.0;0.0;0.0
;PICHETA;;DECHETTERIE;CODE ADRESSE: DECHETTERIE LES MUREAUX;;;;;;OK;Pb.Mat;Pb.Ext;0.0;0.0;0.0
;PICHETA;;DECHETTERIE;CODE ADRESSE: DECHETTERIE LIMAY;;;;;;OK;Pb.Mat;Pb.Ext;0.0;0.0;0.0
;PICHETA;;DECHETTERIE;CODE ADRESSE: DECHETTERIE ORGEVAL;;;;;;OK;Pb.Mat;Pb.Ext;0.0;0.0;0.0
;PICHETA;;DECHETTERIE;CODE ADRESSE: DECHETTERIE VAUCOULEURS;;;;;;OK;Pb.Mat;Pb.Ext;0.0;0.0;0.0
;PICHETA;;DECHETTERIE;CODE ADRESSE: DECHETTERIES GPSEO GRAVATS SUEZ;;;;;;OK;Pb.Mat;Pb.Ext;0.0;0.0;0.0
;PICHETA;SITA -IDF;DECHETTERIE;LC25110011C;;;;DEPOT GRAVAT CHANTIER;;Pb.T;Pb.Mat;Pb.Ext;0.0;6.05;-6.05
;PICHETA;SITA -IDF;DECHETTERIE;LC25110013C;;;;DEPOT GRAVAT CHANTIER;;Pb.T;Pb.Mat;Pb.Ext;0.0;5.9;-5.9
;PICHETA;SITA -IDF;DECHETTERIE;LC25110018C;;;;DEPOT GRAVAT CHANTIER;;Pb.T;Pb.Mat;Pb.Ext;0.0;6.6;-6.6
